civilization,start,end,startLabel,endLabel,region,timeline
Адам,-3943,-3013,Первый человек,,Человек,первое тисячелетие
Сиф,-3813,-2901,,,Человек,первое тисячелетие
Енос,-3708,-2811,,,Человек,первое тисячелетие
Каинан,-3618,-2708,,,Человек,первое тисячелетие
Малелеил,-3548,-2663,,,Человек,первое тисячелетие
Иаред,-3483,-2531,,,Человек,первое тисячелетие
Енох,-3321,-2956,,,Человек,первое тисячелетие
Мафусал,-3256,-2287,,,Человек,первое тисячелетие
Ламех,-3069,-2292,,,Человек,первое тисячелетие
Бог заключает с Ноем завет,-2407,-2408,,,Событие,второе тисячелетие
Фалек,-2186,-1947,,,Человек,второе тисячелетие
Мартин Лютер,1484,1547,,,Человек,6 тисячелетие
