civilization,start,end,startLabel,endLabel,region,timeline
Адам,-3943,-3013,Первый человек,,Человек,первое тисячелетие
Сиф,-3813,-2901,,,Человек,первое тисячелетие
Енос,-3708,-2811,,,Человек,первое тисячелетие
Каинан,-3618,-2708,,,Человек,первое тисячелетие
Малелеил,-3548,-2663,,,Человек,первое тисячелетие
Иаред,-3483,-2531,,,Человек,первое тисячелетие
Енох,-3321,-2956,,,Человек,первое тисячелетие
Мафусал,-3256,-2287,,,Человек,первое тисячелетие
Ламех,-3069,-2292,,,Человек,первое тисячелетие
Ной,-2887,,,,Человек,второе тисячелетие
Бог заключает с Ноем завет,-2407,-2408,,,Событие,второе тисячелетие
Сим Хам и Иафет,-2387,,,,Человек,второе тисячелетие
Всемирный потоп,-2287,,,,Событие, второе тисячелетие
гора Арарат,-2287,,,,Событие,второе тисячелетие
земля высохла,-2286,,,,Событие,второе тисячелетие
Арфаксад,-2285,,,,Человек,второе тисячелетие
Сала,-2250,,,,Человек,второе тисячелетие
Евер,-2220,,,,Человек,второе тисячелетие
Фалек,-2186,-1947,,,Человек,второе тисячелетие
Рагав,-2156,,,,Человек,второе тисячелетие
Серух,-2124,,,,Человек,второе тисячелетие
Нахор,-2094,-1946,,,Человек,второе тисячелетие
Фарра,-2065,,,,Человек,второе тисячелетие
Авраам,-1995,,,,Человек,третье тисячелетие
